,Global_active_power,Global_reactive_power,Voltage,Global_intensity,date,month,year,hour,minute,total_metering
249344,1.22,1.22,233.75,5.4,6,7,2007,21,8,2.0
1646981,1.428,1.428,242.47,5.8,2,2,2010,11,5,19.0
568997,1.678,1.678,238.28,7.2,15,1,2008,20,41,0.0
729262,1.374,1.374,239.16,5.6,5,6,2008,3,46,18.0
220242,0.32,0.32,236.72,1.4,18,5,2007,16,6,2.0
938803,1.566,1.566,240.91,6.4,28,9,2008,16,7,18.0
1308192,0.482,0.482,241.76,2.2,6,12,2009,4,36,2.0
1643364,1.962,1.962,241.44,8.0,30,1,2010,22,48,19.0
1257567,0.256,0.256,243.33,1.0,5,8,2009,0,51,0.0
2062764,0.504,0.504,243.23,2.6,18,11,2010,4,48,1.0
1708685,1.892,1.892,242.69,7.8,17,3,2010,7,29,19.0
603319,0.468,0.468,242.83,2.2,2,8,2008,16,43,0.0
1774562,0.238,0.238,240.83,1.0,5,2,2010,1,26,1.0
898830,3.114,3.114,234.71,13.2,31,8,2008,21,54,36.0
988326,0.502,0.502,239.28,2.4,11,2,2008,1,30,1.0
901524,0.604,0.604,240.19,3.0,9,2,2008,18,48,0.0
102688,1.368,1.368,238.58,5.6,26,2,2007,0,52,18.0
1951502,0.778,0.778,244.64,3.2,9,1,2010,22,26,2.0
2055066,1.754,1.754,233.23499999999996,7.4,11,12,2010,20,30,18.0
1030295,0.284,0.284,244.21,1.2,12,1,2008,4,59,0.0
1331646,2.308,2.308,237.59,9.8,28,6,2009,11,30,19.0
149247,1.486,1.486,241.26,6.2,30,3,2007,8,51,17.0
357662,0.24,0.24,242.31,1.2,22,8,2007,2,26,0.0
241414,0.71,0.71,234.75,3.0,6,2,2007,8,58,1.0
1905340,0.312,0.312,241.26,1.6,31,7,2010,21,4,1.0
172090,0.36,0.36,240.81,1.6,15,4,2007,5,34,1.0
1048872,0.446,0.446,244.35,2.0,14,12,2008,2,36,0.0
1178809,1.494,1.494,240.37,6.2,14,3,2009,8,13,18.0
1168816,1.394,1.394,239.66,5.8,3,7,2009,9,40,18.0
1705534,1.442,1.442,243.83,5.8,15,3,2010,2,58,19.0
1743717,0.232,0.232,240.8,1.0,4,10,2010,15,21,1.0
150704,1.964,1.964,235.34,8.4,31,3,2007,9,8,18.0
409903,3.347,3.347,234.38,13.9,27,9,2007,9,7,45.0
121025,0.56,0.56,241.01,2.4,3,10,2007,18,29,2.0
384671,1.618,1.618,237.63,6.8,9,9,2007,20,35,17.0
1192579,0.342,0.342,238.96,1.4,23,3,2009,21,43,1.0
398319,1.238,1.238,237.24,5.2,19,9,2007,8,3,17.0
1918833,0.236,0.236,242.59,1.0,8,10,2010,5,57,1.0
1209700,1.386,1.386,237.23,5.8,4,4,2009,19,4,19.0
899988,0.412,0.412,236.35,2.0,9,1,2008,17,12,0.0
758881,0.434,0.434,241.86,2.0,26,5,2008,17,25,0.0
1530929,3.347,3.347,237.6,13.9,13,11,2009,20,53,45.0
753586,0.268,0.268,239.82,1.2,23,5,2008,1,10,1.0
1843316,0.336,0.336,243.33,1.4,18,6,2010,19,20,0.0
135783,1.392,1.392,241.41,5.6,21,3,2007,0,27,18.0
77254,1.852,1.852,239.32,7.6,2,8,2007,8,58,18.0
1003436,1.44,1.44,241.54,6.0,11,12,2008,13,20,18.0
1632938,1.778,1.778,239.94,7.4,23,1,2010,17,2,18.0
434628,2.984,2.984,241.09,12.4,14,10,2007,13,12,41.0
931803,0.558,0.558,241.0,2.4,23,9,2008,19,27,0.0
730085,2.042,2.042,239.3,9.0,5,6,2008,17,29,24.0
45142,0.206,0.206,240.89,0.8,17,1,2007,1,46,0.0
1400758,0.416,0.416,243.48,2.2,15,8,2009,11,22,1.0
375326,1.662,1.662,239.86,6.8,9,3,2007,8,50,19.0
1046556,1.292,1.292,242.53,5.2,12,12,2008,12,0,18.0
1757713,2.338,2.338,234.77,10.6,20,4,2010,8,37,17.0
1047839,1.284,1.284,239.7,5.2,13,12,2008,9,23,17.0
1933699,0.608,0.608,240.7980573828573,2.6,20,8,2010,13,43,1.0
987974,0.42,0.42,237.87,2.0,11,1,2008,19,38,0.0
1746428,1.392,1.392,240.15,5.8,4,12,2010,12,32,18.0
1033873,0.798,0.798,246.99,3.2,12,3,2008,16,37,1.0
717111,0.396,0.396,241.03,1.8,27,4,2008,17,15,1.0
1104217,1.652,1.652,245.9,6.6,21,1,2009,13,1,19.0
1301659,2.006,2.006,242.46,8.4,6,7,2009,15,43,22.0
66582,0.336,0.336,244.12,1.4,31,1,2007,23,6,2.0
1764387,1.792,1.792,241.72,7.6,24,4,2010,23,51,2.0
2010963,0.882,0.882,240.42,3.8,13,10,2010,5,27,11.0
1133297,0.934,0.934,243.43,3.8,2,10,2009,17,41,0.0
1990912,2.208,2.208,239.72,9.2,29,9,2010,7,16,18.0
1426512,3.347,3.347,237.43,13.9,9,2,2009,8,36,45.0
1118581,3.347,3.347,241.22,13.9,31,1,2009,12,25,45.0
1770067,0.368,0.368,244.53,1.6,28,4,2010,22,31,1.0
933151,0.252,0.252,242.09,1.2,24,9,2008,17,55,3.0
654332,0.244,0.244,241.92,1.0,15,3,2008,2,56,0.0
1389953,0.304,0.304,241.02,1.6,8,7,2009,23,17,3.0
1297827,0.404,0.404,244.69,1.8,6,4,2009,23,51,1.0
1515337,0.404,0.404,245.41,1.8,11,3,2009,1,1,3.0
94003,2.52,2.52,242.73,10.4,20,2,2007,0,7,2.0
962957,1.446,1.446,239.41,6.0,15,10,2008,10,41,19.0
1490801,0.402,0.402,244.37,1.8,17,10,2009,0,5,2.0
292803,0.218,0.218,241.2,1.0,7,8,2007,1,27,0.0
623721,3.096,3.096,240.2,13.4,22,2,2008,20,45,2.0
238007,1.25,1.25,237.25,5.2,31,5,2007,0,11,17.0
689938,2.408,2.408,235.81,10.4,4,8,2008,20,22,18.0
2028344,1.49,1.49,239.29,6.2,25,10,2010,7,8,18.0
1466183,3.347,3.347,238.46,13.9,29,9,2009,21,47,39.0
978371,0.304,0.304,242.79,1.2,26,10,2008,3,35,0.0
943962,0.242,0.242,243.22,1.0,10,2,2008,6,6,0.0
249922,0.316,0.316,234.24,1.4,6,8,2007,6,46,2.0
1784818,0.338,0.338,243.93,1.4,5,9,2010,4,22,0.0
927798,0.768,0.768,242.59,3.2,21,9,2008,0,42,11.0
1424882,0.202,0.202,241.26,1.0,9,1,2009,5,26,0.0
1630712,0.36,0.36,241.6,1.6,22,1,2010,3,56,1.0
1129690,0.242,0.242,246.45,1.2,2,8,2009,5,34,0.0
1040343,0.466,0.466,246.7,2.0,12,8,2008,4,27,0.0
671618,0.22,0.22,243.9,0.8,27,3,2008,3,2,0.0
1321967,0.496,0.496,240.85,2.2,21,6,2009,18,11,2.0
1562716,2.44,2.44,242.78,10.0,12,5,2009,22,40,20.0
2017818,1.586,1.586,244.45,6.6,17,10,2010,23,42,20.0
2007632,2.578,2.578,237.88,11.0,10,10,2010,21,56,20.0
1262294,1.69,1.69,240.45,7.0,5,11,2009,7,38,19.0
58527,0.85,0.85,240.69,3.6,26,1,2007,8,51,0.0
678859,0.232,0.232,244.77,1.0,4,1,2008,3,43,0.0
29518,0.32,0.32,243.77,1.6,1,6,2007,5,22,1.0
1403642,0.242,0.242,241.01,1.0,17,8,2009,11,26,1.0
2053415,3.347,3.347,233.23499999999996,13.9,11,11,2010,16,59,41.0
1317206,1.286,1.286,236.25,5.4,18,6,2009,10,50,18.0
1001171,0.796,0.796,241.13,3.2,11,10,2008,23,35,0.0
1599023,0.574,0.574,244.28,2.8,31,12,2009,3,47,4.0
2029432,0.258,0.258,242.81,1.0,26,10,2010,1,16,0.0
257119,1.496,1.496,239.17,8.8,13,6,2007,6,43,2.0
1175345,2.51,2.51,239.27,10.8,3,11,2009,22,29,32.0
12823,3.347,3.347,244.59,13.9,25,12,2006,15,7,45.0
786092,1.418,1.418,240.36,5.8,14,6,2008,14,56,19.0
1065995,0.212,0.212,245.3,0.8,25,12,2008,23,59,0.0
1174924,1.194,1.194,244.75,5.0,3,11,2009,15,28,6.0
1408247,0.282,0.282,242.97,1.4,20,8,2009,16,11,1.0
837501,0.144,0.144,241.47,0.6,20,7,2008,7,45,1.0
1812124,0.194,0.194,241.51,0.8,28,5,2010,3,28,0.0
1197649,1.484,1.484,240.15,6.2,27,3,2009,10,13,19.0
1123032,1.56,1.56,246.81,6.4,2,3,2009,14,36,18.0
1726969,0.428,0.428,242.3,2.0,30,3,2010,0,13,2.0
1018742,0.532,0.532,241.66,2.2,23,11,2008,4,26,0.0
1929802,0.91,0.91,240.31,3.8,17,8,2010,20,46,0.0
876756,0.082,0.082,242.16,0.2,16,8,2008,14,0,0.0
2022638,1.898,1.898,239.83,7.8,21,10,2010,8,2,18.0
1602424,0.346,0.346,247.07,1.4,1,2,2010,12,28,1.0
223562,3.347,3.347,233.23499999999996,13.9,20,5,2007,23,26,45.0
1737761,1.342,1.342,244.12,5.4,4,6,2010,12,5,19.0
959578,0.422,0.422,242.43,1.8,13,10,2008,2,22,3.0
846300,1.834,1.834,236.13,7.8,26,7,2008,10,24,20.0
1526532,1.03,1.03,241.13,4.2,11,10,2009,19,36,1.0
2031222,0.408,0.408,246.73,1.6,27,10,2010,7,6,1.0
1472380,0.224,0.224,241.68,1.0,10,4,2009,5,4,0.0
1720137,1.13,1.13,240.34,5.0,25,3,2010,6,21,11.0
970656,1.028,1.028,237.29,4.4,20,10,2008,19,0,0.0
1334189,0.23,0.23,239.8,1.0,30,6,2009,5,53,2.0
1502448,1.462,1.462,243.38,6.0,25,10,2009,2,12,20.0
1710905,3.347,3.347,236.79,13.9,18,3,2010,20,29,45.0
1157148,1.704,1.704,238.36,7.2,27,2,2009,7,12,0.0
6798,1.322,1.322,241.99,5.4,21,12,2006,10,42,17.0
1668357,0.802,0.802,239.82,3.4,17,2,2010,7,21,1.0
401050,0.186,0.186,239.75,0.8,21,9,2007,5,34,0.0
1951508,2.886,2.886,243.03,11.8,9,1,2010,22,32,40.0
7866,0.208,0.208,246.65,0.8,22,12,2006,4,30,0.0
1084444,3.347,3.347,243.68,13.9,1,7,2009,19,28,0.0
1205754,0.456,0.456,239.72,2.0,4,2,2009,1,18,1.0
637936,2.75,2.75,239.71,11.4,3,3,2008,17,40,37.0
669582,1.538,1.538,243.19,6.4,25,3,2008,17,6,18.0
1497496,0.636,0.636,242.95,3.0,21,10,2009,15,40,1.0
786388,3.072,3.072,239.91,13.0,14,6,2008,19,52,41.0
1987402,0.608,0.608,240.7980573828573,2.6,26,9,2010,20,46,1.0
1967850,1.328,1.328,241.61,5.4,13,9,2010,6,54,18.0
1475896,0.318,0.318,242.84,1.4,10,6,2009,15,40,1.0
1947015,1.712,1.712,239.72,7.2,29,8,2010,19,39,19.0
414616,0.218,0.218,243.02,0.8,30,9,2007,15,40,0.0
162735,0.218,0.218,241.67,0.8,4,8,2007,17,39,0.0
27073,2.93,2.93,238.95,12.4,1,4,2007,12,37,41.0
1533406,0.226,0.226,244.21,0.8,15,11,2009,14,10,0.0
1981443,1.416,1.416,240.68,5.8,22,9,2010,17,27,20.0
1753959,1.516,1.516,241.01,6.2,17,4,2010,18,3,19.0
1852552,0.254,0.254,240.07,1.2,25,6,2010,5,16,0.0
172177,0.292,0.292,242.27,1.2,15,4,2007,7,1,0.0
1733246,1.546,1.546,240.4,6.4,4,3,2010,8,50,19.0
355350,0.21,0.21,241.77,1.0,20,8,2007,11,54,0.0
381070,1.232,1.232,237.69,5.2,9,7,2007,8,34,20.0
1863482,1.278,1.278,241.1,5.4,7,2,2010,19,26,2.0
26939,1.822,1.822,240.36,7.6,1,4,2007,10,23,17.0
1282624,1.344,1.344,236.45,5.6,25,5,2009,10,28,18.0
1106223,1.384,1.384,241.81,5.6,22,1,2009,22,27,18.0
41388,1.34,1.34,239.99,5.6,14,1,2007,11,12,18.0
1397490,0.226,0.226,242.78,1.0,13,8,2009,4,54,1.0
477968,3.347,3.347,238.59,13.9,13,11,2007,15,32,45.0
268982,0.188,0.188,239.78,0.8,21,6,2007,12,26,0.0
947989,1.584,1.584,239.96,6.6,10,5,2008,1,13,19.0
1700895,3.347,3.347,237.44,13.9,3,11,2010,21,39,45.0
1151709,1.648,1.648,239.64,6.8,23,2,2009,12,33,17.0
97360,3.347,3.347,236.69,13.9,22,2,2007,8,4,17.0
170841,0.394,0.394,241.47,1.8,14,4,2007,8,45,2.0
636012,0.522,0.522,239.38,2.2,3,2,2008,9,36,0.0
1333605,0.332,0.332,243.53,1.6,29,6,2009,20,9,1.0
1437191,0.35,0.35,243.71,1.6,9,9,2009,18,35,0.0
792433,0.306,0.306,239.48,1.4,19,6,2008,0,37,1.0
341135,1.218,1.218,233.23499999999996,5.2,8,10,2007,14,59,18.0
1738122,0.704,0.704,241.26,2.8,4,6,2010,18,6,0.0
355703,0.116,0.116,243.32,0.6,20,8,2007,17,47,0.0
776394,0.302,0.302,238.17,1.2,6,7,2008,21,18,1.0
52477,0.322,0.322,245.41,1.4,22,1,2007,4,1,0.0
328636,0.18,0.18,236.0,0.8,8,1,2007,22,40,0.0
977202,3.08,3.08,237.99,13.0,25,10,2008,8,6,17.0
571127,2.652,2.652,235.65,11.2,17,1,2008,8,11,17.0
380830,0.112,0.112,241.02,0.6,9,7,2007,4,34,0.0
1651578,2.022,2.022,243.04,8.2,2,5,2010,15,42,20.0
175016,0.278,0.278,238.59,1.4,17,4,2007,6,20,0.0
955865,1.464,1.464,243.1,6.0,10,10,2008,12,29,19.0
782466,1.048,1.048,240.1,4.6,6,12,2008,2,30,13.0
481036,0.598,0.598,235.78,2.4,15,11,2007,18,40,5.0
2010121,0.494,0.494,241.68,2.2,10,12,2010,15,25,1.0
53458,3.347,3.347,233.23499999999996,13.9,22,1,2007,20,22,45.0
485302,1.914,1.914,237.72,8.0,18,11,2007,17,46,2.0
1864550,0.402,0.402,244.02,1.8,7,3,2010,13,14,1.0
1190604,1.788,1.788,239.99,7.8,22,3,2009,12,48,18.0
541970,0.366,0.366,245.06,1.6,28,12,2007,2,14,0.0
557599,1.598,1.598,241.14,6.6,1,7,2008,22,43,18.0
185810,1.332,1.332,233.23499999999996,5.8,24,4,2007,18,14,17.0
2027615,3.347,3.347,237.75,13.9,24,10,2010,18,59,45.0
1137808,1.49,1.49,241.35,6.2,13,2,2009,20,52,0.0
18856,1.726,1.726,234.83,7.2,29,12,2006,19,40,0.0
27810,2.79,2.79,241.77,11.6,1,5,2007,0,54,2.0
93442,0.286,0.286,242.52,1.2,19,2,2007,14,46,1.0
319363,0.124,0.124,233.85,0.6,26,7,2007,12,7,0.0
1241280,2.716,2.716,241.26,11.4,26,4,2009,17,24,37.0
763721,0.618,0.618,240.8,3.0,30,5,2008,2,5,4.0
1646182,1.502,1.502,238.74,6.2,2,1,2010,21,46,19.0
1180818,0.974,0.974,242.86,4.4,15,3,2009,17,42,10.0
1047373,0.29,0.29,241.76,1.2,13,12,2008,1,37,2.0
1563429,0.634,0.634,247.7,2.6,12,6,2009,10,33,0.0
1774453,1.658,1.658,242.49,6.8,5,1,2010,23,37,18.0
525036,1.468,1.468,243.22,6.0,16,12,2007,8,0,0.0
120990,2.428,2.428,239.49,10.2,3,10,2007,17,54,32.0
1037167,1.408,1.408,246.21,5.6,12,5,2008,23,31,0.0
735877,1.64,1.64,242.44,6.8,5,10,2008,18,1,18.0
1726939,0.45,0.45,241.9,2.2,29,3,2010,23,43,1.0
591053,0.404,0.404,242.51,1.8,31,1,2008,4,17,0.0
1911233,0.302,0.302,241.38,1.4,8,4,2010,23,17,0.0
1104962,0.28,0.28,243.84,1.2,22,1,2009,1,26,0.0
1978423,1.446,1.446,241.22,6.0,20,9,2010,15,7,19.0
1517618,1.792,1.792,242.9,7.4,11,4,2009,15,2,19.0
1304851,1.602,1.602,241.21,6.6,6,9,2009,20,55,21.0
1931257,0.608,0.608,240.7980573828573,2.6,18,8,2010,21,1,1.0
314305,0.372,0.372,237.91,1.8,22,7,2007,23,49,0.0
1727709,1.472,1.472,240.09,6.2,30,3,2010,12,33,20.0
494774,0.332,0.332,242.14,1.4,25,11,2007,7,38,0.0
672565,0.542,0.542,237.54,2.2,27,3,2008,18,49,0.0
1197466,2.37,2.37,240.32,9.8,27,3,2009,7,10,18.0
1688676,1.432,1.432,242.45,5.8,3,3,2010,10,0,20.0
785081,2.902,2.902,237.36,12.2,13,6,2008,22,5,18.0
1603723,3.347,3.347,237.37,13.9,1,3,2010,10,7,45.0
524088,1.47,1.47,244.27,6.0,15,12,2007,16,12,19.0
743636,1.494,1.494,239.55,6.4,16,5,2008,3,20,19.0
672744,1.74,1.74,240.94,7.6,27,3,2008,21,48,0.0
172433,0.302,0.302,240.41,1.2,15,4,2007,11,17,2.0
1787841,0.886,0.886,241.91,3.6,5,11,2010,6,45,1.0
810987,2.778,2.778,236.96,11.8,7,1,2008,21,51,18.0
1349161,1.844,1.844,242.02,7.6,7,10,2009,15,25,20.0
1824986,0.44,0.44,241.73,2.4,6,6,2010,1,50,2.0
639585,1.27,1.27,239.44,5.2,3,4,2008,21,9,17.0
120469,3.347,3.347,239.05,13.9,3,10,2007,9,13,45.0
1923004,0.156,0.156,241.48,0.6,13,8,2010,3,28,0.0
129807,0.75,0.75,236.98,3.2,16,3,2007,20,51,0.0
1613199,1.774,1.774,248.555,7.0,1,10,2010,0,3,20.0
1870630,0.256,0.256,242.14,1.2,7,7,2010,18,34,1.0
839409,1.536,1.536,237.97,6.4,21,7,2008,15,33,18.0
465707,0.378,0.378,242.41,1.8,11,5,2007,3,11,2.0
913993,1.296,1.296,238.35,5.4,9,11,2008,10,37,18.0
1961973,0.158,0.158,240.8,0.8,9,9,2010,4,57,1.0
1806043,2.074,2.074,239.5,8.6,23,5,2010,22,7,19.0
64567,0.852,0.852,241.42,3.6,30,1,2007,13,31,0.0
1489657,0.29,0.29,243.4,1.2,16,10,2009,5,1,1.0
64843,3.347,3.347,236.26,13.9,30,1,2007,18,7,18.0
234057,0.252,0.252,238.37,1.0,28,5,2007,6,21,0.0
1422506,1.412,1.412,242.71,5.8,30,8,2009,13,50,19.0
725134,0.416,0.416,240.14,1.8,5,3,2008,6,58,3.0
294302,0.232,0.232,241.92,1.0,7,9,2007,2,26,0.0
1215952,0.364,0.364,244.19,1.6,4,9,2009,3,16,1.0
590573,0.622,0.622,239.6,2.8,30,1,2008,20,17,0.0
521171,0.602,0.602,244.65,2.8,13,12,2007,15,35,2.0
226496,0.28,0.28,237.57,1.4,23,5,2007,0,20,1.0
748782,0.404,0.404,241.47,2.2,19,5,2008,17,6,2.0
1238897,1.482,1.482,239.02,6.2,25,4,2009,1,41,19.0
281240,0.202,0.202,240.49,1.0,30,6,2007,0,44,2.0
1840289,0.59,0.59,241.69,2.6,16,6,2010,16,53,5.0
701375,1.316,1.316,238.55,5.4,16,4,2008,18,59,18.0
571227,1.428,1.428,239.27,6.0,17,1,2008,9,51,18.0
338505,0.146,0.146,234.73,0.6,8,8,2007,19,9,0.0
1027242,0.312,0.312,243.52,1.2,29,11,2008,2,6,0.0
840571,0.284,0.284,239.72,1.2,22,7,2008,10,55,1.0
977058,0.42,0.42,243.83,1.8,25,10,2008,5,42,0.0
1505353,0.328,0.328,243.68,1.4,27,10,2009,2,37,1.0
1918012,0.244,0.244,240.1,1.0,8,9,2010,16,16,3.0
909255,0.156,0.156,242.49,0.6,9,8,2008,3,39,1.0
774860,0.746,0.746,239.68,3.2,6,6,2008,19,44,1.0
1698410,0.372,0.372,247.64,1.6,3,10,2010,4,14,1.0
639946,0.294,0.294,244.17,1.2,3,5,2008,3,10,0.0
874985,0.174,0.174,240.27,0.8,15,8,2008,8,29,1.0
436719,0.4,0.4,239.96,1.6,16,10,2007,0,3,0.0
1233477,3.294,3.294,241.33,13.6,21,4,2009,7,21,30.0
1295211,0.39,0.39,244.36,1.8,6,3,2009,4,15,1.0
2031125,0.342,0.342,248.23,1.4,27,10,2010,5,29,1.0
1284341,0.214,0.214,233.23499999999996,0.8,26,5,2009,15,5,1.0
1576926,3.234,3.234,245.53,13.8,15,12,2009,19,30,1.0
298419,0.296,0.296,242.34,1.4,7,11,2007,23,3,0.0
1812604,1.706,1.706,238.52,7.2,28,5,2010,11,28,22.0
151874,0.35,0.35,242.82,1.4,4,1,2007,4,38,0.0
796139,3.347,3.347,234.61,13.9,21,6,2008,14,23,45.0
870990,0.174,0.174,239.14,0.8,8,12,2008,13,54,1.0
1918746,0.16,0.16,244.17,0.6,8,10,2010,4,30,1.0
1290170,1.468,1.468,241.11,6.0,30,5,2009,16,14,18.0
1492746,0.388,0.388,242.62,1.6,18,10,2009,8,30,0.0
58407,2.598,2.598,241.94,11.0,26,1,2007,6,51,18.0
637203,1.746,1.746,239.59,7.2,3,3,2008,5,27,20.0
1874882,2.014,2.014,238.49,8.4,7,10,2010,17,26,32.0
38481,0.302,0.302,240.22,1.4,1,12,2007,10,45,0.0
1408187,0.21,0.21,242.8,1.0,20,8,2009,15,11,1.0
1575866,0.28,0.28,245.87,1.2,15,12,2009,1,50,1.0
1969890,0.342,0.342,242.19,1.4,14,9,2010,16,54,1.0
1350220,1.6,1.6,239.2,6.6,7,11,2009,9,4,18.0
1539682,1.504,1.504,241.94,6.2,19,11,2009,22,46,0.0
1128309,0.346,0.346,246.49,1.4,2,7,2009,6,33,0.0
743626,1.44,1.44,240.85,6.0,16,5,2008,3,10,19.0
1685126,0.246,0.246,244.21,1.0,28,2,2010,22,50,1.0
813620,0.332,0.332,242.07,1.6,7,3,2008,17,44,1.0
1191999,0.442,0.442,243.0,1.8,23,3,2009,12,3,0.0
1341887,1.462,1.462,239.57,6.2,7,5,2009,14,11,18.0
875914,0.198,0.198,240.88,1.4,15,8,2008,23,58,1.0
2040095,0.544,0.544,241.47,2.4,11,2,2010,10,59,1.0
248740,0.342,0.342,233.23499999999996,1.6,6,7,2007,11,4,0.0
1622327,2.104,2.104,241.9,8.6,16,1,2010,8,11,19.0
1070460,0.22,0.22,246.99,0.8,29,12,2008,2,24,0.0
307888,0.2,0.2,233.23499999999996,1.0,18,7,2007,12,52,1.0
1680457,2.084,2.084,242.82,8.6,25,2,2010,17,1,18.0
261247,0.162,0.162,241.17,0.6,16,6,2007,3,31,0.0
1432393,1.214,1.214,239.94,5.6,9,6,2009,10,37,9.0
889395,0.196,0.196,243.75,1.0,25,8,2008,8,39,1.0
391745,0.286,0.286,240.03,1.6,14,9,2007,18,29,1.0
1885757,0.158,0.158,243.33,0.6,18,7,2010,6,41,1.0
1386096,0.242,0.242,240.67,1.0,8,5,2009,7,0,1.0
569961,1.79,1.79,238.11,7.4,16,1,2008,12,45,20.0
1533728,1.828,1.828,236.32,7.6,15,11,2009,19,32,6.0
209248,0.112,0.112,233.23499999999996,0.6,5,11,2007,0,52,0.0
933633,0.148,0.148,238.48,0.6,25,9,2008,1,57,1.0
1214111,2.282,2.282,239.41,9.6,4,7,2009,20,35,26.0
1338266,0.998,0.998,240.89,4.4,7,3,2009,1,50,12.0
856911,0.234,0.234,236.05,1.0,8,2,2008,19,15,0.0
428596,1.71,1.71,237.5,7.2,10,10,2007,8,40,20.0
470482,1.538,1.538,236.66,6.6,11,8,2007,10,46,17.0
1748345,1.264,1.264,236.63,5.2,13,4,2010,20,29,18.0
1172222,0.578,0.578,240.84,2.8,3,9,2009,18,26,0.0
1136936,0.396,0.396,245.13,1.8,13,2,2009,6,20,0.0
589869,1.614,1.614,240.03,6.8,30,1,2008,8,33,18.0
697934,1.42,1.42,241.15,5.8,14,4,2008,9,38,18.0
77021,0.546,0.546,243.66,2.2,2,8,2007,5,5,0.0
1526180,1.4,1.4,241.02,5.8,11,10,2009,13,44,18.0
2030474,0.272,0.272,243.8,1.2,26,10,2010,18,38,2.0
585882,2.542,2.542,240.95,10.6,27,1,2008,14,6,35.0
925424,1.522,1.522,236.32,6.4,19,9,2008,9,8,18.0
1500740,1.052,1.052,239.89,4.4,23,10,2009,21,44,0.0
793689,2.644,2.644,238.65,11.0,19,6,2008,21,33,18.0
1593568,1.628,1.628,242.7,6.6,27,12,2009,8,52,18.0
56250,2.79,2.79,234.38,11.8,24,1,2007,18,54,0.0
509584,1.736,1.736,243.63,7.0,12,5,2007,14,28,18.0
1109584,1.292,1.292,245.08,5.2,25,1,2009,6,28,0.0
1860337,1.178,1.178,239.12,4.8,30,6,2010,15,1,0.0
1904039,0.152,0.152,237.97,0.6,30,7,2010,23,23,1.0
1561441,0.41,0.41,242.28,1.8,12,5,2009,1,25,1.0
737247,1.01,1.01,241.51,4.4,5,11,2008,16,51,0.0
1298636,1.314,1.314,235.07,5.6,6,5,2009,13,20,17.0
1642189,0.364,0.364,245.32,1.6,30,1,2010,3,13,1.0
1780212,0.334,0.334,240.88,1.4,5,5,2010,23,36,0.0
221206,1.708,1.708,233.23499999999996,7.2,19,5,2007,8,10,18.0
1420633,1.47,1.47,242.15,6.2,29,8,2009,6,37,20.0
438306,0.268,0.268,241.36,1.2,17,10,2007,2,30,0.0
97266,3.347,3.347,238.08,13.9,22,2,2007,6,30,18.0
854802,0.38,0.38,237.39,1.8,8,1,2008,8,6,2.0
421553,1.336,1.336,235.21,5.6,10,5,2007,11,17,17.0
1022897,0.298,0.298,243.83,1.2,26,11,2008,1,41,1.0
415571,1.24,1.24,240.34,5.2,10,1,2007,7,35,0.0
867837,0.176,0.176,239.8,0.8,8,10,2008,9,21,0.0
960940,0.428,0.428,240.87,2.0,14,10,2008,1,4,1.0
380011,0.268,0.268,241.29,1.4,9,6,2007,14,55,1.0
1427760,0.282,0.282,241.21,1.2,9,3,2009,5,24,1.0
59930,1.336,1.336,242.56,5.4,27,1,2007,8,14,0.0
1358824,0.328,0.328,239.13,1.4,17,7,2009,8,28,1.0
1494422,0.226,0.226,243.64,0.8,19,10,2009,12,26,0.0
805141,0.894,0.894,241.44,3.8,27,6,2008,20,25,1.0
27415,3.036,3.036,236.7,12.8,1,4,2007,18,19,22.0
297019,0.382,0.382,243.12,1.8,7,10,2007,23,43,2.0
1779905,0.864,0.864,237.21,3.8,5,5,2010,18,29,2.0
1370487,0.158,0.158,239.4,0.6,25,7,2009,10,51,0.0
369499,0.278,0.278,241.44,1.2,30,8,2007,7,43,0.0
1375326,1.728,1.728,237.1,7.6,28,7,2009,19,30,25.0
1447838,0.354,0.354,242.17,1.6,17,9,2009,4,2,3.0
1015562,0.522,0.522,242.68,2.2,20,11,2008,23,26,0.0
218659,0.424,0.424,237.83,2.0,17,5,2007,13,43,2.0
1496547,0.41,0.41,245.7,1.8,20,10,2009,23,51,1.0
448839,1.296,1.296,241.21,5.2,24,10,2007,10,3,18.0
1630173,1.81,1.81,240.08,7.6,21,1,2010,18,57,1.0
582487,0.4,0.4,243.87,1.8,25,1,2008,5,31,1.0
2047968,1.28,1.28,237.58,5.4,11,7,2010,22,12,1.0
1054573,0.246,0.246,242.45,1.0,18,12,2008,1,37,0.0
1600386,0.572,0.572,244.9,2.4,1,1,2010,2,30,1.0
1621132,1.65,1.65,242.64,6.8,15,1,2010,12,16,18.0
278604,0.334,0.334,240.23,1.8,28,6,2007,4,48,2.0
1145009,0.308,0.308,241.47,1.2,18,2,2009,20,53,0.0
1902421,0.246,0.246,241.73,1.0,29,7,2010,20,25,2.0
1965184,1.696,1.696,242.03,7.2,9,11,2010,10,28,24.0
1204072,2.678,2.678,243.75,11.0,31,3,2009,21,16,24.0
1361763,1.408,1.408,240.53,5.8,19,7,2009,9,27,18.0
1327523,0.316,0.316,242.19,1.6,25,6,2009,14,47,0.0
65323,0.408,0.408,243.82,2.0,31,1,2007,2,7,1.0
725186,0.414,0.414,240.02,1.8,5,3,2008,7,50,1.0
1779500,1.48,1.48,235.57,6.2,5,5,2010,11,44,18.0
